AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,fc:0a:81:96:13:30,Extreme Networks,Selfridges
PR-REQ,2018-08-10 13:35:37,52.479,-1.8917,Client,f2:58:96:3d:43:50,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:37,52.479,-1.8917,Client,f2:58:96:3d:43:50,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:37,52.479,-1.8917,Client,f2:58:96:3d:43:50,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:37,52.479,-1.8917,Client,f2:58:96:3d:43:50,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,0e:18:0a:21:be:b1,Unknown Vendor,auditors
AP-BEC,2018-08-10 13:35:37,52.479,-1.8917,BSSID,fc:0a:81:81:cf:44,Extreme Networks,ZSelfridgesConcession
PR-REQ,2018-08-10 13:35:38,52.479,-1.8917,Client,28:be:03:ba:2e:49,Tct Mobile Ltd,Broadcast
AP-RES,2018-08-10 13:35:38,52.479,-1.8917,Client,28:be:03:ba:2e:49,Tct Mobile Ltd,Hidden SSID
PR-REQ,2018-08-10 13:35:38,52.479,-1.8917,Client,e6:a8:06:69:1e:a2,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:38,52.479,-1.8917,Client,e6:a8:06:69:1e:a2,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:39,52.479,-1.8917,BSSID,84:24:8d:35:4d:c4,Zebra Technologies Inc,ZSelfridgesConcession
PR-REQ,2018-08-10 13:35:39,52.479,-1.8917,Client,76:23:9e:55:b7:91,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:39,52.479,-1.8917,Client,76:23:9e:55:b7:91,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:39,52.479,-1.8917,BSSID,84:24:8d:35:4d:c7,Zebra Technologies Inc,ZSelfridgesClickDespatch
AP-BEC,2018-08-10 13:35:39,52.479,-1.8917,BSSID,62:03:47:2c:6e:aa,Unknown Vendor,Boost-A
AP-BEC,2018-08-10 13:35:39,52.479,-1.8917,BSSID,84:24:8d:3a:d8:d4,Zebra Technologies Inc,ZSelfridgesConcession
PR-REQ,2018-08-10 13:35:40,52.479,-1.8917,Client,c8:d7:b0:22:20:67,Samsung Electronics Co.Ltd,BTWi-fi
AP-RES,2018-08-10 13:35:40,52.479,-1.8917,Client,c8:d7:b0:22:20:67,Samsung Electronics Co.Ltd,BTWi-fi
AP-BEC,2018-08-10 13:35:40,52.479,-1.8917,BSSID,00:f2:01:37:9b:26,Unknown Vendor,BTHub3-8PQH
PR-REQ,2018-08-10 13:35:40,52.479,-1.8917,Client,c8:d7:b0:22:20:67,Samsung Electronics Co.Ltd,BTWi-fi
AP-RES,2018-08-10 13:35:40,52.479,-1.8917,Client,c8:d7:b0:22:20:67,Samsung Electronics Co.Ltd,BTWi-fi
AP-BEC,2018-08-10 13:35:42,52.479,-1.8917,BSSID,84:24:8d:3a:a7:e0,Zebra Technologies Inc,Selfridges
AP-BEC,2018-08-10 13:35:45,52.479,-1.8917,BSSID,0a:8d:db:dc:8b:ae,Unknown Vendor,
AP-BEC,2018-08-10 13:35:45,52.479,-1.8917,BSSID,12:18:0a:22:52:53,Unknown Vendor,1111
AP-BEC,2018-08-10 13:35:45,52.479,-1.8917,BSSID,84:24:8d:2c:f6:d1,Zebra Technologies Inc,xrayBr
AP-BEC,2018-08-10 13:35:45,52.479,-1.8917,BSSID,84:24:8d:2c:f6:d7,Zebra Technologies Inc,ZSelfridgesClickDespatch
AP-BEC,2018-08-10 13:35:45,52.479,-1.8917,BSSID,84:24:8d:2c:f6:d4,Zebra Technologies Inc,ZSelfridgesConcession
AP-BEC,2018-08-10 13:35:46,52.479,-1.8917,BSSID,00:18:0a:22:52:53,Meraki Inc.,3000
AP-BEC,2018-08-10 13:35:46,52.479,-1.8917,BSSID,0e:18:0a:22:52:53,Unknown Vendor,DMNet
AP-BEC,2018-08-10 13:35:46,52.479,-1.8917,BSSID,00:3a:98:1b:33:f0,Cisco Systems Inc,JdGW1ReLeSs
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,5c:f8:a1:7f:83:b7,Murata Manufacturing Co. Ltd.,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,5c:f8:a1:7f:83:b7,Murata Manufacturing Co. Ltd.,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,f6:59:71:ae:d6:a2,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,f6:59:71:ae:d6:a2,Unknown Vendor,Hidden SSID
