AP-RES,2018-08-14 13:28:06,52.4365,-1.9142,Client,ca:81:3f:98:9e:91,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:28:06,52.4365,-1.9142,Client,ca:81:3f:98:9e:91,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:28:06,52.4365,-1.9142,Client,ca:81:3f:98:9e:91,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:28:15,52.4365,-1.9142,Client,30:59:b7:9e:c2:85,Microsoft,Broadcast
AP-RES,2018-08-14 13:28:15,52.4365,-1.9142,Client,30:59:b7:9e:c2:85,Microsoft,Hidden SSID
PR-REQ,2018-08-14 13:28:15,52.4365,-1.9142,Client,30:59:b7:9e:c2:85,Microsoft,Broadcast
AP-RES,2018-08-14 13:28:15,52.4365,-1.9142,Client,30:59:b7:9e:c2:85,Microsoft,Hidden SSID
PR-REQ,2018-08-14 13:29:38,52.4365,-1.9142,Client,b4:ae:2b:14:d8:24,Microsoft,Broadcast
AP-RES,2018-08-14 13:29:38,52.4365,-1.9142,Client,b4:ae:2b:14:d8:24,Microsoft,Hidden SSID
AP-BEC,2018-08-14 13:29:40,52.4365,-1.9142,BSSID,48:8d:36:b5:73:c7,Arcadyan Corporation,EE-b5yayk
AP-BEC,2018-08-14 13:29:41,52.4388,-1.9142,BSSID,ec:22:80:a5:bd:41,D-Link International,TALKTALK-A5BD41
AP-BEC,2018-08-14 13:29:46,52.4388,-1.9142,BSSID,40:0d:10:e0:2c:59,Arris Group Inc.,VM3947835
PR-REQ,2018-08-14 13:29:46,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-14 13:29:46,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-14 13:29:48,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-14 13:29:48,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-14 13:29:55,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-14 13:29:55,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-14 13:29:55,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-14 13:29:55,52.4388,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
AP-BEC,2018-08-14 13:29:59,52.4388,-1.9142,BSSID,f8:1d:0f:3c:e4:18,Hitron Technologies. Inc,VM2CE418
AP-BEC,2018-08-14 13:30:05,52.4388,-1.9145,BSSID,c4:ea:1d:4b:d2:9f,Technicolor,Glide00041373
PR-REQ,2018-08-14 13:30:06,52.4388,-1.9145,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:30:06,52.4388,-1.9145,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:30:06,52.4388,-1.9145,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:30:06,52.4388,-1.9145,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
AP-BEC,2018-08-14 13:30:07,52.4388,-1.9145,BSSID,76:29:af:dd:ca:97,Unknown Vendor,DIRECT-KLTUBEmsBA
PR-REQ,2018-08-14 13:30:08,52.4388,-1.9145,Client,36:95:85:41:a8:3c,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:08,52.4388,-1.9145,Client,36:95:85:41:a8:3c,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:30:09,52.4388,-1.9145,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:30:09,52.4388,-1.9145,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
AP-BEC,2018-08-14 13:30:09,52.4388,-1.9145,BSSID,c0:05:c2:00:4d:31,Arris Group Inc.,VM7700741
PR-REQ,2018-08-14 13:30:16,52.4388,-1.9147,Client,f2:b2:a2:ff:8f:f9,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:16,52.4388,-1.9147,Client,f2:b2:a2:ff:8f:f9,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:30:16,52.4388,-1.9147,Client,f2:b2:a2:ff:8f:f9,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:16,52.4388,-1.9147,Client,f2:b2:a2:ff:8f:f9,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-14 13:30:17,52.4388,-1.9147,BSSID,b0:5a:da:f5:9a:7a,Hewlett Packard,DIRECT-79-HP OfficeJet 4650
AP-BEC,2018-08-14 13:30:17,52.4388,-1.9147,BSSID,48:8d:36:0e:e9:2b,Arcadyan Corporation,AW-NR581
AP-BEC,2018-08-14 13:30:17,52.4388,-1.9147,BSSID,9c:80:df:72:c8:73,Arcadyan Technology Corporation,EE-BrightBox-mmnsgb
AP-BEC,2018-08-14 13:30:18,52.4388,-1.9147,BSSID,8c:3b:ad:b5:78:0d,Unknown Vendor,VM26C1F8_EXT
AP-BEC,2018-08-14 13:30:18,52.4388,-1.9147,BSSID,52:0d:10:34:16:e9,Unknown Vendor,Virgin Media
AP-BEC,2018-08-14 13:30:18,52.4388,-1.9147,BSSID,d2:05:c2:69:ae:89,Unknown Vendor,Virgin Media
AP-BEC,2018-08-14 13:30:18,52.4388,-1.9147,BSSID,48:d3:43:df:61:d9,Arris Group Inc.,VM5823143
AP-BEC,2018-08-14 13:30:18,52.4388,-1.9147,BSSID,5a:d3:43:2c:99:19,Unknown Vendor,Virgin Media
AP-BEC,2018-08-14 13:30:18,52.4388,-1.9147,BSSID,5a:d3:43:df:61:d9,Unknown Vendor,Virgin Media
AP-BEC,2018-08-14 13:30:19,52.4388,-1.9147,BSSID,48:d3:43:02:79:51,Arris Group Inc.,VM8014472
AP-BEC,2018-08-14 13:30:19,52.4388,-1.9147,BSSID,8c:10:d4:0c:1b:6b,Sagemcom Broadband Sas,BTHub5-HSHN
AP-BEC,2018-08-14 13:30:19,52.4388,-1.9147,BSSID,8e:10:d4:0c:1b:6b,Unknown Vendor,BTWifi-with-FON
AP-BEC,2018-08-14 13:30:19,52.4388,-1.9147,BSSID,ae:10:d4:0c:1b:6b,Unknown Vendor,BTWifi-X
PR-REQ,2018-08-14 13:30:20,52.4388,-1.9147,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,VM9246577
AP-RES,2018-08-14 13:30:20,52.4388,-1.9147,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,VM9246577
PR-REQ,2018-08-14 13:30:20,52.4388,-1.9147,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,Broadcast
AP-RES,2018-08-14 13:30:20,52.4388,-1.9147,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,Hidden SSID
PR-REQ,2018-08-14 13:30:20,52.4388,-1.9148,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,VM9246577
AP-RES,2018-08-14 13:30:20,52.4388,-1.9148,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,VM9246577
PR-REQ,2018-08-14 13:30:20,52.4388,-1.9148,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,Broadcast
AP-RES,2018-08-14 13:30:20,52.4388,-1.9148,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,Hidden SSID
AP-BEC,2018-08-14 13:30:26,52.4386,-1.9151,BSSID,52:0d:10:e0:2c:59,Unknown Vendor,Virgin Media
PR-REQ,2018-08-14 13:30:26,52.4386,-1.9151,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,Broadcast
AP-RES,2018-08-14 13:30:26,52.4386,-1.9151,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,Hidden SSID
AP-BEC,2018-08-14 13:30:26,52.4386,-1.9151,BSSID,40:0d:10:65:06:f9,Arris Group Inc.,VM3294216
AP-BEC,2018-08-14 13:30:27,52.4386,-1.9151,BSSID,70:4f:57:a7:64:77,Tp-Link Technologies Co.Ltd.,VodafoneConnect05920021
PR-REQ,2018-08-14 13:30:27,52.4386,-1.9151,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,VM9246577
AP-RES,2018-08-14 13:30:27,52.4386,-1.9151,Client,b8:27:eb:43:78:15,Raspberry Pi Foundation,VM9246577
AP-BEC,2018-08-14 13:30:27,52.4386,-1.9151,BSSID,30:91:8f:58:e6:b2,Technicolor,XLNBusinessServices
AP-BEC,2018-08-14 13:30:27,52.4386,-1.9151,BSSID,48:d3:43:2c:99:19,Arris Group Inc.,VM6875712
AP-BEC,2018-08-14 13:30:36,52.4387,-1.9152,BSSID,20:47:ed:9f:8f:46,Bskyb Ltd,SKY7A11E
PR-REQ,2018-08-14 13:30:36,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:36,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:30:36,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:36,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:30:38,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:38,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:30:38,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:38,52.4387,-1.9152,Client,26:3c:ad:96:7b:41,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-14 13:30:39,52.4387,-1.9152,BSSID,38:a6:ce:3b:e3:be,Bskyb Ltd,SKY7A11E
PR-REQ,2018-08-14 13:30:45,52.4387,-1.9154,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
