PR-REQ,2018-08-08 12:43:59,52.4384,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-08 12:43:59,52.4384,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-08 12:43:59,52.4384,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:59,52.4384,-1.9141,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:59,52.4384,-1.9141,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-RES,2018-08-08 12:43:59,52.4384,-1.9141,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
PR-REQ,2018-08-08 12:43:59,52.4384,-1.9141,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-RES,2018-08-08 12:43:59,52.4384,-1.9141,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
PR-REQ,2018-08-08 12:43:59,52.4384,-1.9141,Client,ec:10:7b:49:cf:0d,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-08 12:43:59,52.4384,-1.9141,Client,ec:10:7b:49:cf:0d,Samsung Electronics Co.Ltd,Hidden SSID
PR-REQ,2018-08-08 12:44:08,52.4385,-1.9142,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-RES,2018-08-08 12:44:08,52.4385,-1.9142,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
PR-REQ,2018-08-08 12:44:35,52.4387,-1.9144,Client,d4:a3:3d:26:9d:fe,Apple Inc.,NOWTV71AC3
AP-RES,2018-08-08 12:44:35,52.4387,-1.9144,Client,d4:a3:3d:26:9d:fe,Apple Inc.,NOWTV71AC3
PR-REQ,2018-08-08 12:44:35,52.4387,-1.9144,Client,d4:a3:3d:26:9d:fe,Apple Inc.,NOWTV71AC3
AP-RES,2018-08-08 12:44:35,52.4387,-1.9144,Client,d4:a3:3d:26:9d:fe,Apple Inc.,NOWTV71AC3
PR-REQ,2018-08-08 12:44:45,52.4388,-1.9144,Client,d4:a3:3d:26:9d:fe,Apple Inc.,NOWTV71AC3
AP-RES,2018-08-08 12:44:45,52.4388,-1.9144,Client,d4:a3:3d:26:9d:fe,Apple Inc.,NOWTV71AC3
PR-REQ,2018-08-08 12:45:06,52.4388,-1.9144,Client,58:fb:84:1f:be:4a,Intel Corporate,Broadcast
AP-RES,2018-08-08 12:45:06,52.4388,-1.9144,Client,58:fb:84:1f:be:4a,Intel Corporate,Hidden SSID
PR-REQ,2018-08-08 12:45:08,52.4388,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-08 12:45:08,52.4388,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-08 12:45:15,52.4387,-1.9143,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-08 12:45:15,52.4387,-1.9143,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-08 12:45:37,52.4386,-1.9143,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-RES,2018-08-08 12:45:37,52.4386,-1.9143,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
PR-REQ,2018-08-08 12:45:37,52.4386,-1.9143,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-RES,2018-08-08 12:45:37,52.4386,-1.9143,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-BEC,2018-08-08 12:45:56,52.4386,-1.9143,BSSID,f8:1d:0f:3c:e4:18,Hitron Technologies. Inc,VM2CE418
AP-BEC,2018-08-08 12:45:57,52.4386,-1.9143,BSSID,c0:bd:d1:b2:7e:a9,Samsung Electro-Mechanics(Thailand),Samsung Galaxy Note4 9266
AP-BEC,2018-08-08 12:46:06,52.4386,-1.9143,BSSID,ec:22:80:a5:bd:41,D-Link International,TALKTALK-A5BD41
AP-BEC,2018-08-08 12:46:06,52.4386,-1.9143,BSSID,52:0d:10:e0:2c:59,Unknown Vendor,Virgin Media
AP-BEC,2018-08-08 12:46:06,52.4386,-1.9143,BSSID,40:0d:10:e0:2c:59,Arris Group Inc.,VM3947835
AP-BEC,2018-08-08 12:46:10,52.4386,-1.9143,BSSID,90:21:06:ba:a9:d9,Bskyb Ltd,SKYDD5ED
PR-REQ,2018-08-08 12:46:10,52.4386,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-08 12:46:10,52.4386,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-BEC,2018-08-08 12:46:19,52.4386,-1.9145,BSSID,84:1b:5e:a7:f1:de,Netgear,virginmedia4098658
PR-REQ,2018-08-08 12:46:19,52.4386,-1.9145,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-08 12:46:19,52.4386,-1.9145,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-BEC,2018-08-08 12:46:25,52.4387,-1.9147,BSSID,48:d3:43:df:61:d9,Arris Group Inc.,VM5823143
AP-BEC,2018-08-08 12:46:25,52.4387,-1.9147,BSSID,52:0d:10:d7:aa:29,Unknown Vendor,Virgin Media
PR-REQ,2018-08-08 12:46:26,52.4387,-1.9147,Client,c2:40:56:b6:26:91,Unknown Vendor,Broadcast
AP-RES,2018-08-08 12:46:26,52.4387,-1.9147,Client,c2:40:56:b6:26:91,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-08 12:46:26,52.4387,-1.9147,Client,c2:40:56:b6:26:91,Unknown Vendor,Broadcast
AP-RES,2018-08-08 12:46:26,52.4387,-1.9147,Client,c2:40:56:b6:26:91,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-08 12:46:27,52.4387,-1.9147,Client,00:1f:3c:40:d5:51,Intel Corporate,Broadcast
AP-RES,2018-08-08 12:46:27,52.4387,-1.9147,Client,00:1f:3c:40:d5:51,Intel Corporate,Hidden SSID
PR-REQ,2018-08-08 12:46:27,52.4387,-1.9147,Client,00:1f:3c:40:d5:51,Intel Corporate,Broadcast
AP-RES,2018-08-08 12:46:27,52.4387,-1.9147,Client,00:1f:3c:40:d5:51,Intel Corporate,Hidden SSID
